"","name","n","p","m","N","kappa","sigma","ratio","averaged","centralized"
"1",ols,40,8,10,400,0.2,10,0.707993584820225,1.45972708998269,2.06178010829483
"2",ols,40,8,10,400,0.2,10,1.35270562683574,2.68929165508613,1.9880834393932
"3",ols,40,8,10,400,0.2,10,1.14588628075147,1.61425513411715,1.40873938473068
"4",ols,40,8,10,400,0.2,10,1.02251811435743,4.2397790776114,4.14640974871705
"5",ols,40,8,10,400,0.2,10,1.04401610680206,2.14436828306029,2.05396091984512
"6",ols,40,8,10,400,0.2,10,1.25515582115957,3.73936096168573,2.97920058900029
"7",ols,40,8,10,400,0.2,10,0.708440121781991,0.899409194632322,1.26956275763994
"8",ols,40,8,10,400,0.2,10,0.893955530193531,0.394150643301872,0.440906320269134
"9",ols,40,8,10,400,0.2,10,1.58782450438447,4.88337570358124,3.0755135029701
"10",ols,40,8,10,400,0.2,10,1.23997493561382,1.82591503255383,1.47254188783256
"11",ols,40,8,10,400,0.2,10,1.56495670355817,3.09365978038675,1.97683410240861
"12",ols,40,8,10,400,0.2,10,1.62454120294857,1.2416197977424,0.764289508624857
"13",ols,40,8,10,400,0.2,10,1.29003444717401,2.65436574119757,2.05759291700489
"14",ols,40,8,10,400,0.2,10,0.963992416668517,0.843385189624758,0.874887784428255
"15",ols,40,8,10,400,0.2,10,1.49769561358294,3.83208360478471,2.55865315357185
"16",ols,40,8,10,400,0.2,10,2.00791311540191,1.97797861125642,0.985091733344501
"17",ols,40,8,10,400,0.2,10,0.882490059564483,2.91000184205416,3.29748965499994
"18",ols,40,8,10,400,0.2,10,0.828847052568451,1.40954455753307,1.70060875907701
"19",ols,40,8,10,400,0.2,10,0.57658950931273,1.03650787381055,1.79765302189772
"20",ols,40,8,10,400,0.2,10,1.46459564377839,4.26150505798048,2.9096802766575
"21",ols,40,8,10,400,0.2,10,0.638499018624283,1.06826105020725,1.67308174178394
"22",ols,40,8,10,400,0.2,10,1.09800984297037,2.7966110306005,2.54698174930292
"23",ols,40,8,10,400,0.2,10,0.467644651476812,0.411139145592795,0.879169994341699
"24",ols,40,8,10,400,0.2,10,1.23662707330228,1.41359696476256,1.14310691984747
"25",ols,40,8,10,400,0.2,10,1.2515734989563,1.40236763508558,1.12048364419271
"26",ols,40,8,10,400,0.2,10,2.7684390483461,0.767133424982854,0.277099626029748
"27",ols,40,8,10,400,0.2,10,1.26891842226319,3.97932636630249,3.13599857680773
"28",ols,40,8,10,400,0.2,10,1.97565871386709,2.72989732441431,1.381765638596
"29",ols,40,8,10,400,0.2,10,1.13750899081018,2.42201207919124,2.12922455889003
"30",ols,40,8,10,400,0.2,10,1.11383888315278,1.89483711857519,1.70117702590139
"31",ols,40,8,10,400,0.2,10,1.24905557658273,2.56650326870146,2.05475506199901
"32",ols,40,8,10,400,0.2,10,1.61161394530574,3.88254324375536,2.40910253666166
"33",ols,40,8,10,400,0.2,10,1.24700415547179,2.69358626409784,2.16004594072804
"34",ols,40,8,10,400,0.2,10,1.54049264765869,3.06106454119763,1.98706858215129
"35",ols,40,8,10,400,0.2,10,1.132769843813,3.70644369130548,3.27201832883304
"36",ols,40,8,10,400,0.2,10,2.162504690382,2.27509431646545,1.05206445404914
"37",ols,40,8,10,400,0.2,10,1.15105891865118,1.28741787544384,1.11846392446396
"38",ols,40,8,10,400,0.2,10,1.16778126139063,4.06409363297729,3.48018397566823
"39",ols,40,8,10,400,0.2,10,2.15219420273849,2.35376339097346,1.09365752773541
"40",ols,40,8,10,400,0.2,10,2.05525625715428,2.23051082945536,1.08527139702946
"41",ols,40,8,10,400,0.2,10,1.43813695127013,3.51775647602692,2.44605110307479
"42",ols,40,8,10,400,0.2,10,1.29547110857892,0.732264078708877,0.565249254776619
"43",ols,40,8,10,400,0.2,10,2.00310661741503,3.18470055655891,1.58988070273998
"44",ols,40,8,10,400,0.2,10,1.94136627690571,3.07106153779419,1.58190732698266
"45",ols,40,8,10,400,0.2,10,1.29805823293308,1.20798792150483,0.93061150174694
"46",ols,40,8,10,400,0.2,10,1.01610255742774,2.1548878938889,2.12073857912925
"47",ols,40,8,10,400,0.2,10,1.65414826909815,3.61618164095718,2.18612908438296
"48",ols,40,8,10,400,0.2,10,1.96351076041177,2.30541371137255,1.17412838159801
"49",ols,40,8,10,400,0.2,10,0.722530301491818,2.02967477594269,2.80912063030712
"50",ols,40,8,10,400,0.2,10,0.938361065114619,2.18115719384223,2.32443275294655
"51",ols,40,8,10,400,0.2,10,0.936147253108017,1.60739971339004,1.71703725888577
"52",ols,40,8,10,400,0.2,10,1.01186110510387,2.22644158249297,2.20034308193358
"53",ols,40,8,10,400,0.2,10,1.16929254066164,0.777678977789181,0.665085041378214
"54",ols,40,8,10,400,0.2,10,1.13061066333289,1.30685126611945,1.15588089561001
"55",ols,40,8,10,400,0.2,10,1.02943303402124,2.10788781769839,2.04762014432782
"56",ols,40,8,10,400,0.2,10,0.951353447505791,1.62024109219769,1.70309057737222
"57",ols,40,8,10,400,0.2,10,1.25050181425357,1.06245316978259,0.84962145410143
"58",ols,40,8,10,400,0.2,10,1.55894323013011,2.61456668652503,1.67714040895948
"59",ols,40,8,10,400,0.2,10,1.61510317323935,2.34932698474703,1.45459870531681
"60",ols,40,8,10,400,0.2,10,1.02789762559225,0.860687627692859,0.837328160182244
"61",ols,40,8,10,400,0.2,10,1.94496551458923,2.15025417437772,1.10554874019545
"62",ols,40,8,10,400,0.2,10,1.30728934290211,3.04918699195388,2.33244997254001
"63",ols,40,8,10,400,0.2,10,1.66132764170534,2.3881065731446,1.43746875281822
"64",ols,40,8,10,400,0.2,10,1.70413394034847,3.48980628226806,2.04784741365719
"65",ols,40,8,10,400,0.2,10,1.30121251859786,3.57679626311333,2.74881790022091
"66",ols,40,8,10,400,0.2,10,2.22593941958645,1.65559667527155,0.743774363625373
"67",ols,40,8,10,400,0.2,10,1.14490146323161,1.45944724414723,1.27473611574203
"68",ols,40,8,10,400,0.2,10,1.22640855565593,2.14415501267358,1.74832033157727
"69",ols,40,8,10,400,0.2,10,1.00261124204745,0.95842515243382,0.955928990459555
"70",ols,40,8,10,400,0.2,10,1.10946794957478,4.92486304065448,4.43894124435232
"71",ols,40,8,10,400,0.2,10,0.957779461634212,4.68689750432592,4.89350387230991
"72",ols,40,8,10,400,0.2,10,1.51911587387871,4.23809091063011,2.78984044831888
"73",ols,40,8,10,400,0.2,10,1.74576288275067,2.86018250058585,1.63835680598231
"74",ols,40,8,10,400,0.2,10,0.862308464827538,2.41320115406768,2.79853585172717
"75",ols,40,8,10,400,0.2,10,0.670764345759766,0.932159359427719,1.38969723915763
"76",ols,40,8,10,400,0.2,10,1.52293691626035,1.64499526990273,1.08014669047626
"77",ols,40,8,10,400,0.2,10,1.37737609944808,3.34402954769264,2.42782603025608
"78",ols,40,8,10,400,0.2,10,1.23918423565131,7.10503149263136,5.73363611981149
"79",ols,40,8,10,400,0.2,10,0.994086989465433,2.31262400755799,2.32637991651173
