"","name","n","p","m","N","sigma","ratio","averaged","centralized"
"149",ols,424,50,100,42400,10,1.01045591432744,0.108197769966438,0.107078169796705
"150",ols,424,50,100,42400,10,1.31891265952629,0.128732018370785,0.0976046574736961
"151",ols,424,50,100,42400,10,1.12207893723088,0.132866510929124,0.118411019510818
"152",ols,424,50,100,42400,10,1.23611330016978,0.153522769638668,0.124197975717583
"153",ols,424,50,100,42400,10,1.04276811512632,0.122179656797837,0.117168577582597
"154",ols,424,50,100,42400,10,1.25567041566502,0.145150474002984,0.115595997319177
"155",ols,424,50,100,42400,10,1.17808968360685,0.178800890928073,0.151771884107035
"156",ols,424,50,100,42400,10,1.04650643847285,0.127330162315816,0.121671647335134
"157",ols,424,50,100,42400,10,1.22434227946261,0.171452227552508,0.140036189575812
"158",ols,424,50,100,42400,10,1.03925355963256,0.132152141012612,0.127160633502508
"159",ols,424,50,100,42400,10,1.01856920209408,0.100695116298643,0.0988593765564708
"160",ols,424,50,100,42400,10,1.04915533777522,0.109473604074923,0.104344514232817
"161",ols,616,50,10,6160,10,1.19353610660382,0.858327344119553,0.719146525497168
"162",ols,616,50,10,6160,10,1.12755736338195,0.8208459213313,0.727985952634185
"163",ols,616,50,10,6160,10,1.08268091168089,0.608074705928141,0.56163796679863
"164",ols,616,50,10,6160,10,1.23508893699882,0.862420383905522,0.698265815578547
"165",ols,616,50,10,6160,10,1.04465510519814,0.788387678768424,0.754687049194947
"166",ols,616,50,10,6160,10,1.09706716100374,1.23969536041528,1.13000863072143
"167",ols,616,50,10,6160,10,1.06144503331973,0.745685754560763,0.702519425079025
"168",ols,616,50,10,6160,10,1.0402626197883,0.843689400672042,0.811035006567608
"169",ols,616,50,10,6160,10,1.08250662272584,0.522894792647184,0.483040733118556
"170",ols,616,50,10,6160,10,1.18160924324128,0.879289903619069,0.744146094530442
"171",ols,616,50,10,6160,10,1.17918400901845,0.914209145109523,0.775289639375715
"172",ols,616,50,10,6160,10,1.07232395947673,0.99477343540737,0.927679948411107
"173",ols,616,50,10,6160,10,1.0378115019399,1.20276309666844,1.15894176776824
"174",ols,616,50,10,6160,10,1.06815463029945,0.875454506508962,0.819595292362804
"175",ols,616,50,10,6160,10,1.12053652445319,1.12844408532421,1.00705694165113
"176",ols,616,50,10,6160,10,1.05502693574094,1.34610440717804,1.27589577249294
"177",ols,616,50,10,6160,10,1.22430546248477,0.816413981267488,0.666838469878709
"178",ols,616,50,10,6160,10,1.11605553511019,0.824282161839586,0.738567334606877
"179",ols,616,50,10,6160,10,0.977720260390586,0.843067326286437,0.862278670536747
"180",ols,616,50,10,6160,10,1.10264276875108,1.01548989531212,0.920960009978861
"181",ols,616,50,20,12320,10,1.02817931255133,0.301263044299279,0.293006327419409
"182",ols,616,50,20,12320,10,1.29120406979428,0.571387419035192,0.442522938396739
"183",ols,616,50,20,12320,10,1.07356686791582,0.570166136933474,0.531095131540684
"184",ols,616,50,20,12320,10,1.23408462770183,0.549572330171453,0.445327911745316
"185",ols,616,50,20,12320,10,1.07972430266796,0.371096662221652,0.343695757615796
"186",ols,616,50,20,12320,10,1.17532892088456,0.590191418679118,0.50215000089927
"187",ols,616,50,20,12320,10,1.09798796941002,0.47027837841279,0.428309226981316
"188",ols,616,50,20,12320,10,1.17076550690882,0.512927437733557,0.438112871199838
"189",ols,616,50,20,12320,10,1.09406798956142,0.382490058697401,0.349603555123415
"190",ols,616,50,20,12320,10,1.26280583419776,0.326736598089534,0.258738587707827
"191",ols,616,50,20,12320,10,1.05015372835765,0.442238073293246,0.42111746247368
"192",ols,616,50,20,12320,10,1.07245448927541,0.664185512121746,0.619313470887228
"193",ols,616,50,20,12320,10,1.05021910099327,0.45755729774186,0.435677943115977
"194",ols,616,50,20,12320,10,1.07932746271227,0.370343778669939,0.343124576613006
"195",ols,616,50,20,12320,10,1.09187512137793,0.517100676528244,0.473589576686821
"196",ols,616,50,20,12320,10,1.11295270412575,0.413663409562431,0.371681031933315
"197",ols,616,50,20,12320,10,0.930443108977902,0.36010176623091,0.387021799351585
"198",ols,616,50,20,12320,10,1.10224861748474,0.335936654032434,0.304773940020012
"199",ols,616,50,20,12320,10,1.07249711368605,0.601338049273798,0.560689666760096
"200",ols,616,50,20,12320,10,0.953847463347515,0.402446943334635,0.421919603289873
"201",ols,616,50,40,24640,10,1.11972765008283,0.164893190995801,0.14726187299528
"202",ols,616,50,40,24640,10,0.986620314883973,0.175736791487946,0.178119980743162
"203",ols,616,50,40,24640,10,1.18371927322287,0.23075072764341,0.194937036899934
"204",ols,616,50,40,24640,10,1.22455769283331,0.246646852627074,0.201417094572651
"205",ols,616,50,40,24640,10,1.10105938438619,0.291566236215384,0.264805187031692
"206",ols,616,50,40,24640,10,1.10911068694111,0.233330776952088,0.210376457191667
"207",ols,616,50,40,24640,10,1.18647288774267,0.304595403859785,0.256723442234987
"208",ols,616,50,40,24640,10,1.20019179884755,0.201005745474925,0.167478019486498
"209",ols,616,50,40,24640,10,1.14491225786892,0.182998204032838,0.15983600732292
"210",ols,616,50,40,24640,10,0.99425184300063,0.206109780849724,0.207301381738141
"211",ols,616,50,40,24640,10,0.961301637327886,0.197039542826192,0.20497160846818
"212",ols,616,50,40,24640,10,1.15502813326612,0.21479636805179,0.185966351697774
"213",ols,616,50,40,24640,10,1.10271388387682,0.240969491397039,0.218524038665279
"214",ols,616,50,40,24640,10,1.13169744059754,0.181886230338117,0.160719838901536
"215",ols,616,50,40,24640,10,0.982932190266631,0.179977485808776,0.183102646948571
